,date,tweet_count,daily_sent,charliebilello,huobiglobal,binance,vitalikbuterin,coinmarketcap,eth_classic,grayscale,investingcom,scottmelker,justinsuntron
2021-02-09,2021-02-09,11,0.3280909090909091,0,0,0,0,1,1,0,1,0,0
2021-02-08,2021-02-08,4,0.13592500000000002,0,0,0,0,0,0,0,0,0,0
2021-02-07,2021-02-07,4,0.27245,0,0,0,0,1,1,0,0,0,0
2021-02-06,2021-02-06,1,0.6249,0,0,0,0,0,0,0,0,0,0
2021-02-05,2021-02-05,18,0.1595277777777778,1,0,0,0,1,0,0,1,0,0
2021-02-04,2021-02-04,5,0.2294,0,0,0,0,1,1,0,0,0,0
2021-02-03,2021-02-03,19,0.0522578947368421,1,0,0,0,1,0,0,0,0,0
2021-02-02,2021-02-02,12,0.10146666666666666,1,1,0,0,1,0,0,0,0,0
2021-02-01,2021-02-01,3,0.5269666666666667,0,0,0,0,0,0,0,0,0,0
2021-01-31,2021-01-31,2,-0.09065,0,0,0,0,1,0,0,0,1,0
2021-01-30,2021-01-30,2,0.6890499999999999,0,0,0,0,0,0,0,0,0,0
2021-01-29,2021-01-29,11,0.42026363636363634,1,0,0,0,0,0,1,0,0,0
2021-01-28,2021-01-28,5,0.1594,0,0,0,0,1,0,0,0,0,0
2021-01-27,2021-01-27,5,0.31135999999999997,0,0,0,0,1,0,0,0,0,0
2021-01-26,2021-01-26,5,0.21905999999999998,0,0,0,0,1,0,0,0,0,0
2021-01-25,2021-01-25,10,0.38431999999999994,0,0,0,0,1,0,0,0,0,0
2021-01-24,2021-01-24,3,0.2740666666666667,0,0,0,0,1,0,0,0,0,0
2021-01-23,2021-01-23,2,0.8308,0,0,0,0,0,0,0,0,0,0
2021-01-22,2021-01-22,2,0.27815,0,0,0,0,1,0,0,0,0,0
2021-01-21,2021-01-21,4,0.10327499999999999,0,1,0,0,0,0,0,0,0,0
2021-01-20,2021-01-20,7,0.30317142857142854,0,0,0,0,1,0,0,0,0,1
2021-01-19,2021-01-19,21,0.2821190476190476,1,0,0,0,1,0,0,1,1,0
2021-01-18,2021-01-18,3,-0.09099999999999998,0,0,0,0,0,0,1,0,0,0
2021-01-17,2021-01-17,3,0.6847,0,0,0,0,1,0,0,0,0,0
2021-01-16,2021-01-16,3,0.02513333333333334,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-15,4,0.4946,0,0,0,0,1,0,1,0,0,0
2021-01-14,2021-01-14,2,0.3872,0,0,0,0,1,0,0,0,0,0
2021-01-13,2021-01-13,2,0.35824999999999996,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-12,2,0.55935,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-11,5,0.1621,0,0,1,0,1,0,0,1,0,0
2021-01-10,2021-01-10,4,0.42965,0,0,0,0,1,0,0,0,0,0
2021-01-09,2021-01-09,2,0.66045,0,0,0,0,1,0,0,0,0,0
2021-01-08,2021-01-08,5,-0.0787,1,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-07,6,0.12806666666666666,0,0,0,0,1,0,0,0,0,0
2021-01-06,2021-01-06,4,0.2292,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-05,6,0.4437499999999999,0,0,0,0,1,0,0,0,0,0
2021-01-04,2021-01-04,13,0.020599999999999993,1,1,1,0,0,0,0,0,0,1
2021-01-03,2021-01-03,4,0.026074999999999987,0,0,0,0,1,0,0,1,0,0
2021-01-02,2021-01-02,6,0.17026666666666665,0,0,0,0,1,0,0,0,0,0
2021-01-01,2021-01-01,3,0.4868333333333334,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-30,2,0.3182,0,0,0,0,1,0,0,0,0,0
2020-12-29,2020-12-29,1,0.4215,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-28,3,-0.06583333333333335,0,0,0,0,0,0,0,0,0,0
2020-12-27,2020-12-27,2,0.17,0,0,0,0,0,0,0,0,0,0
2020-12-26,2020-12-26,1,0.8519,0,0,0,0,0,0,0,0,0,0
2020-12-24,2020-12-24,2,0.32985,0,0,0,0,1,0,0,0,0,0
2020-12-23,2020-12-23,5,0.26486,0,0,0,0,0,0,0,0,0,1
2020-12-22,2020-12-22,6,0.19566666666666666,0,1,0,0,0,0,1,0,0,0
2020-12-21,2020-12-21,6,0.16463333333333333,0,0,0,0,0,0,0,0,0,0
2020-12-20,2020-12-20,2,0.63585,0,0,0,0,1,0,0,0,0,0
2020-12-19,2020-12-19,4,0.344325,0,0,0,0,1,0,1,0,0,0
2020-12-18,2020-12-18,6,0.466,0,0,0,0,1,0,1,0,0,0
2020-12-17,2020-12-17,5,0.1706,0,0,0,0,1,0,0,1,0,0
2020-12-16,2020-12-16,6,0.23548333333333335,0,0,0,0,0,1,1,0,0,0
2020-12-15,2020-12-15,5,0.25188,0,0,0,0,0,0,1,0,0,0
2020-12-14,2020-12-14,4,0.36367499999999997,0,0,0,1,0,0,0,0,0,0
2020-12-13,2020-12-13,1,0.8149,0,0,0,0,1,0,0,0,0,0
2020-12-12,2020-12-12,2,0.5044500000000001,0,0,0,0,0,0,0,0,0,0
2020-12-11,2020-12-11,1,-0.5267,0,0,0,0,0,0,0,0,0,0
2020-12-10,2020-12-10,4,0.7068000000000001,0,0,0,0,0,0,0,0,0,0
2020-12-09,2020-12-09,2,0.1357,0,0,1,0,0,0,0,0,0,0
2020-12-08,2020-12-08,2,0.4549,0,0,0,0,0,0,0,0,0,0
2020-12-07,2020-12-07,2,0.5584,0,0,0,0,0,1,0,0,0,0
2020-12-06,2020-12-06,1,0.25,0,0,0,0,1,0,0,0,0,0
2020-12-05,2020-12-05,3,0.18399999999999997,0,0,0,0,0,0,0,0,0,0
2020-12-04,2020-12-04,4,0.16462500000000002,0,1,0,0,1,0,0,0,0,0
2020-12-03,2020-12-03,6,0.4689666666666666,0,0,0,0,1,0,0,0,0,0
2020-12-02,2020-12-02,5,0.35118,0,0,0,0,1,1,1,0,0,0
2020-12-01,2020-12-01,8,0.5975374999999999,0,0,1,0,0,0,0,0,0,0
2020-11-30,2020-11-30,7,0.3559,0,1,1,0,0,0,0,0,0,0
2020-11-29,2020-11-29,1,-0.4019,0,1,0,0,0,0,0,0,0,0
2020-11-28,2020-11-28,1,0.34,0,0,0,0,0,0,0,0,0,0
2020-11-27,2020-11-27,2,-0.1243,0,0,0,0,0,1,0,0,0,0
2020-11-26,2020-11-26,3,0.3391,0,0,0,0,0,1,0,0,1,0
2020-11-25,2020-11-25,7,0.2752142857142857,0,0,0,1,0,0,1,0,0,0
2020-11-24,2020-11-24,17,0.4280764705882354,0,0,1,0,1,1,0,0,0,0
2020-11-23,2020-11-23,9,0.17702222222222222,0,1,0,0,1,0,0,0,0,1
2020-11-22,2020-11-22,5,0.4725,0,0,0,0,1,0,0,0,0,1
2020-11-21,2020-11-21,3,0.45480000000000004,0,0,0,0,1,0,0,0,0,0
2020-11-20,2020-11-20,4,-0.00045000000000000595,0,1,0,0,1,0,0,0,0,0
2020-11-19,2020-11-19,4,0.22467499999999996,0,1,1,0,0,0,1,0,0,0
2020-11-18,2020-11-18,3,0.07580000000000002,0,0,0,0,0,0,0,0,1,0
2020-11-17,2020-11-17,6,0.40159999999999996,0,0,0,1,0,0,1,0,0,0
2020-11-16,2020-11-16,2,0.0129,0,0,1,0,0,0,0,0,0,0
2020-11-15,2020-11-15,1,0.8176,0,0,0,0,0,0,0,0,0,0
2020-11-14,2020-11-14,1,-0.3818,0,0,0,0,0,1,0,0,0,0
2020-11-13,2020-11-13,3,0.09053333333333331,0,0,0,0,0,0,0,0,0,0
2020-11-12,2020-11-12,3,0.02803333333333333,0,0,0,0,1,1,0,0,0,0
2020-11-11,2020-11-11,6,0.10985,0,0,0,0,0,0,1,0,0,0
2020-11-10,2020-11-10,5,0.01544,0,0,0,0,0,0,1,0,0,0
2020-11-09,2020-11-09,2,0.1591,0,0,0,0,0,0,0,0,0,0
2020-11-07,2020-11-07,4,0.482,0,0,0,0,1,0,0,0,0,0
2020-11-06,2020-11-06,3,0.24579999999999994,0,0,0,0,1,0,0,0,0,0
2020-11-05,2020-11-05,2,0.49875,0,0,0,0,0,0,1,0,0,0
2020-11-04,2020-11-04,4,0.12315,0,0,0,0,0,0,0,0,0,0
2020-11-03,2020-11-03,1,-0.6289,0,0,0,0,0,0,0,0,0,0
2020-11-02,2020-11-02,2,0.0,0,0,0,0,0,1,0,0,0,0
2020-11-01,2020-11-01,2,-0.2258,0,0,0,0,0,0,0,0,0,0
2020-10-30,2020-10-30,1,-0.1027,0,0,0,0,0,0,0,0,0,0
2020-10-29,2020-10-29,5,0.18024,0,0,1,0,0,1,1,0,0,0
2020-10-27,2020-10-27,3,0.5626,0,1,0,0,0,0,0,0,0,0
2020-10-26,2020-10-26,2,0.05395,0,0,0,0,0,0,1,0,0,0
2020-10-24,2020-10-24,2,0.44785,0,0,0,0,0,0,0,0,0,0
2020-10-23,2020-10-23,5,0.5727599999999999,0,0,1,0,0,0,0,0,1,0
2020-10-22,2020-10-22,3,0.10493333333333334,0,0,0,0,0,0,0,0,0,0
2020-10-21,2020-10-21,4,-0.38904999999999995,0,0,0,1,0,0,0,0,0,0
2020-10-19,2020-10-19,5,0.05673999999999999,0,0,0,0,0,1,0,0,0,0
2020-10-17,2020-10-17,2,0.03260000000000002,0,0,0,0,0,1,0,0,0,0
2020-10-16,2020-10-16,1,0.4019,0,0,0,0,0,0,0,0,0,0
2020-10-15,2020-10-15,2,-0.07965,0,0,0,0,0,1,0,0,0,0
2020-10-14,2020-10-14,3,0.31143333333333334,0,0,0,0,0,0,0,0,0,0
2020-10-13,2020-10-13,1,0.636,0,0,0,0,0,0,1,0,0,0
2020-10-12,2020-10-12,3,0.6849,0,0,0,0,0,0,1,0,0,0
2020-10-11,2020-10-11,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-10-09,2020-10-09,4,0.35035,0,0,0,0,0,0,0,0,0,0
2020-10-08,2020-10-08,3,0.2812,0,0,0,0,0,0,0,0,0,0
2020-10-07,2020-10-07,4,-0.059699999999999996,0,0,0,0,0,1,0,0,0,0
2020-10-06,2020-10-06,3,0.3952333333333333,0,0,0,0,0,0,0,0,0,0
2020-10-05,2020-10-05,4,0.45120000000000005,0,1,0,0,0,0,0,0,0,0
2020-10-01,2020-10-01,4,0.5206500000000001,0,0,0,1,0,0,0,0,0,0
2020-09-30,2020-09-30,3,0.1298,0,0,0,0,0,1,0,0,0,0
2020-09-29,2020-09-29,3,0.07313333333333333,0,0,0,0,0,0,0,0,0,0
2020-09-28,2020-09-28,2,-0.19265,0,0,0,0,0,1,0,0,0,0
2020-09-27,2020-09-27,1,-0.2263,0,0,0,0,0,0,0,0,0,0
2020-09-25,2020-09-25,2,0.18185,0,0,0,0,0,1,0,0,0,0
2020-09-24,2020-09-24,2,0.6546000000000001,0,1,0,0,0,0,0,0,0,0
2020-09-23,2020-09-23,3,0.4097,0,0,0,0,0,1,0,0,0,0
2020-09-22,2020-09-22,2,0.2023,0,0,0,0,0,0,0,0,0,0
2020-09-21,2020-09-21,4,-0.03897500000000001,0,0,0,0,0,1,0,0,0,0
2020-09-18,2020-09-18,4,0.39442499999999997,0,0,0,0,0,0,0,0,0,0
2020-09-17,2020-09-17,1,-0.4588,0,0,0,0,0,0,0,0,0,0
2020-09-16,2020-09-16,1,-0.8475,0,1,0,0,0,0,0,0,0,0
2020-09-15,2020-09-15,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-09-14,2020-09-14,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-09-13,2020-09-13,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-09-11,2020-09-11,1,0.91,0,0,0,0,0,0,0,0,0,0
2020-09-10,2020-09-10,3,-0.0007999999999999859,0,0,0,0,0,0,0,0,0,0
2020-09-09,2020-09-09,1,-0.5574,0,0,0,0,0,0,0,0,0,0
2020-09-08,2020-09-08,1,0.7176,0,0,0,0,0,0,0,0,0,0
2020-09-07,2020-09-07,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-09-06,2020-09-06,1,0.4404,0,0,0,0,0,0,0,0,0,0
2020-09-05,2020-09-05,2,-0.5861999999999999,0,0,0,0,0,0,0,0,0,0
2020-09-04,2020-09-04,2,0.509,0,0,0,0,0,0,0,0,0,0
2020-09-02,2020-09-02,8,0.30829999999999996,0,0,0,0,0,0,0,0,0,0
2020-09-01,2020-09-01,5,-0.42256,0,0,0,0,0,0,0,0,1,0
2020-08-31,2020-08-31,3,0.3444666666666667,0,0,0,0,0,0,0,0,1,0
2020-08-29,2020-08-29,1,0.6486,0,0,0,0,0,1,0,0,0,0
2020-08-26,2020-08-26,2,0.09509999999999999,0,0,0,0,0,1,0,0,0,0
2020-08-25,2020-08-25,3,0.24173333333333336,0,0,0,0,0,0,0,0,0,0
2020-08-24,2020-08-24,5,0.26504000000000005,0,0,0,0,0,1,0,0,0,0
2020-08-23,2020-08-23,1,-0.5719,0,0,0,0,0,0,0,0,0,0
2020-08-22,2020-08-22,4,0.416375,0,0,0,0,0,0,0,0,0,0
2020-08-21,2020-08-21,3,0.17956666666666665,0,0,0,0,0,0,0,0,0,0
2020-08-20,2020-08-20,3,0.12726666666666667,0,1,0,0,0,0,0,0,0,0
2020-08-19,2020-08-19,2,0.18535,0,0,0,0,0,1,0,0,0,0
2020-08-18,2020-08-18,3,0.1597,0,0,0,1,0,0,0,0,0,0
2020-08-17,2020-08-17,2,0.54385,0,0,0,1,0,0,0,0,0,0
2020-08-16,2020-08-16,1,0.3802,0,0,0,0,0,0,0,0,0,0
2020-08-15,2020-08-15,3,0.249,0,0,0,0,0,0,0,0,1,0
2020-08-14,2020-08-14,10,0.35595999999999994,0,0,1,1,0,0,1,0,0,0
2020-08-13,2020-08-13,4,0.169575,0,0,0,1,1,0,0,0,1,0
2020-08-12,2020-08-12,5,-0.017880000000000007,0,0,0,0,0,0,0,0,0,0
2020-08-11,2020-08-11,3,0.5096333333333334,0,0,0,0,0,0,0,0,0,0
2020-08-10,2020-08-10,10,0.06487000000000001,0,0,0,0,0,1,0,0,0,0
2020-08-08,2020-08-08,4,0.24925,0,0,0,0,0,0,0,0,0,0
2020-08-07,2020-08-07,2,0.7248,0,0,0,0,0,0,1,0,0,0
2020-08-06,2020-08-06,8,0.14325,0,0,0,0,0,0,1,0,0,0
2020-08-05,2020-08-05,2,0.53835,0,0,0,0,0,0,0,0,0,0
2020-08-04,2020-08-04,5,-0.0231,0,0,0,0,0,1,1,0,0,0
2020-08-03,2020-08-03,5,0.13056,0,0,1,0,0,1,0,0,0,0
2020-08-02,2020-08-02,1,-0.7003,0,0,0,0,0,1,0,0,0,0
2020-08-01,2020-08-01,5,-0.29366,0,0,0,0,0,0,0,0,0,0
2020-07-31,2020-07-31,8,0.49745,0,0,0,0,0,0,0,0,0,0
2020-07-30,2020-07-30,13,0.4328769230769231,0,0,0,0,1,0,0,0,0,0
2020-07-29,2020-07-29,2,0.7279,0,0,0,0,0,0,0,0,0,0
2020-07-28,2020-07-28,9,0.24040000000000003,0,0,0,0,0,0,0,0,0,0
2020-07-27,2020-07-27,5,0.4383,0,0,0,0,0,0,0,0,0,0
2020-07-26,2020-07-26,4,0.32137499999999997,0,0,0,0,0,0,0,0,0,0
2020-07-24,2020-07-24,4,0.426875,0,0,0,0,0,0,0,0,0,0
2020-07-23,2020-07-23,2,0.38155,0,0,1,0,0,0,0,0,0,0
2020-07-22,2020-07-22,1,0.8016,0,0,0,0,0,0,0,0,0,0
2020-07-21,2020-07-21,5,0.34950000000000003,0,0,0,0,0,0,0,0,0,0
2020-07-20,2020-07-20,2,0.6207,0,0,0,0,0,0,0,0,0,0
2020-07-17,2020-07-17,2,0.2877,0,0,0,0,0,0,0,0,0,0
2020-07-16,2020-07-16,3,0.6132333333333332,0,0,0,0,0,1,0,0,0,0
2020-07-15,2020-07-15,2,0.37245,0,0,0,1,0,0,0,0,0,0
2020-07-14,2020-07-14,2,0.51745,0,0,0,0,1,0,0,0,0,0
2020-07-13,2020-07-13,7,0.2957428571428572,0,1,0,0,0,0,0,0,0,0
2020-07-10,2020-07-10,2,0.4002,0,0,0,0,0,0,0,0,0,0
2020-07-09,2020-07-09,3,0.4615,0,0,0,0,0,1,0,0,0,0
2020-07-08,2020-07-08,2,0.17975,0,1,1,0,0,0,0,0,0,0
2020-07-07,2020-07-07,1,0.0,0,0,0,0,0,1,0,0,0,0
2020-07-06,2020-07-06,3,0.5695333333333333,0,1,0,0,0,1,0,0,1,0
2020-07-04,2020-07-04,2,0.65615,0,0,0,0,0,1,0,0,0,0
2020-07-03,2020-07-03,2,0.7540500000000001,0,0,1,0,0,1,0,0,0,0
2020-07-02,2020-07-02,1,0.8704,0,0,0,0,0,1,0,0,0,0
2020-07-01,2020-07-01,2,0.1582,0,1,0,0,0,0,0,0,0,0
2020-06-30,2020-06-30,2,0.1471,0,0,0,0,0,1,0,0,0,0
2020-06-29,2020-06-29,1,0.2714,0,1,0,0,0,0,0,0,0,0
2020-06-28,2020-06-28,3,0.24666666666666667,0,0,0,0,0,1,0,0,0,0
2020-06-27,2020-06-27,1,0.6908,0,0,0,0,0,0,0,0,0,0
2020-06-26,2020-06-26,3,0.47246666666666676,0,0,0,1,0,1,0,0,0,0
2020-06-25,2020-06-25,3,0.15843333333333334,0,0,0,0,0,0,0,0,0,0
2020-06-24,2020-06-24,2,0.24695,0,0,0,0,0,1,0,0,0,0
2020-06-23,2020-06-23,2,0.1333,0,0,0,0,0,0,0,0,0,0
2020-06-22,2020-06-22,3,0.18330000000000002,0,0,0,0,0,0,0,0,0,0
2020-06-21,2020-06-21,2,0.6158,0,0,0,0,0,1,0,0,0,0
2020-06-20,2020-06-20,1,0.5267,0,0,0,0,0,1,0,0,0,0
2020-06-19,2020-06-19,3,0.5762999999999999,0,0,0,0,0,1,0,0,0,0
2020-06-18,2020-06-18,3,0.14503333333333335,0,0,0,0,0,0,0,0,0,0
2020-06-17,2020-06-17,1,0.4572,0,0,0,1,0,0,0,0,0,0
2020-06-16,2020-06-16,2,0.5488,0,0,0,0,0,0,0,0,0,0
2020-06-15,2020-06-15,2,0.57165,0,0,0,0,0,0,0,0,0,0
2020-06-14,2020-06-14,1,0.4588,0,0,0,0,0,0,0,0,0,0
2020-06-10,2020-06-10,2,0.32985,0,0,1,0,0,1,0,0,0,0
2020-06-09,2020-06-09,2,0.09450000000000003,0,0,0,0,0,0,0,0,0,0
2020-06-08,2020-06-08,1,0.4404,0,0,0,0,0,0,0,0,0,0
2020-06-06,2020-06-06,2,0.43735,0,0,0,0,0,1,0,0,0,0
2020-06-05,2020-06-05,3,0.6209666666666666,0,0,0,0,0,1,0,0,0,0
2020-06-04,2020-06-04,1,0.6597,0,0,0,0,0,1,0,0,0,0
2020-06-03,2020-06-03,4,0.26985,0,1,0,0,0,1,0,0,0,0
2020-06-01,2020-06-01,5,0.29496,0,0,0,1,0,1,0,0,1,0
2020-05-31,2020-05-31,2,0.012200000000000003,0,0,0,0,0,1,0,0,0,0
2020-05-30,2020-05-30,1,0.5563,0,0,0,0,0,0,0,0,0,0
2020-05-29,2020-05-29,4,0.06009999999999999,0,0,0,0,0,1,0,0,0,0
2020-05-28,2020-05-28,3,0.5309333333333334,0,0,0,0,0,0,0,0,0,0
2020-05-27,2020-05-27,4,0.323875,0,0,0,0,0,1,0,0,0,1
2020-05-26,2020-05-26,1,0.296,0,0,0,0,0,1,0,0,0,0
2020-05-25,2020-05-25,2,-0.17,0,0,1,0,0,0,0,0,0,0
2020-05-22,2020-05-22,6,0.32711666666666667,0,0,0,0,0,1,0,0,0,0
2020-05-20,2020-05-20,1,0.5574,0,0,0,0,0,0,0,0,0,0
2020-05-18,2020-05-18,1,0.8271,0,0,0,0,0,1,0,0,0,0
2020-05-16,2020-05-16,1,0.1779,0,0,0,0,0,1,0,0,0,0
2020-05-15,2020-05-15,1,0.0,0,0,0,1,0,0,0,0,0,0
2020-05-14,2020-05-14,2,-0.01865,0,0,0,0,0,0,0,0,0,0
2020-05-13,2020-05-13,3,0.1468,0,0,0,0,0,1,0,0,0,0
2020-05-11,2020-05-11,1,0.0,0,1,0,0,0,0,0,0,0,0
2020-05-09,2020-05-09,1,0.0,0,0,0,0,0,1,0,0,0,0
2020-05-08,2020-05-08,1,0.4767,0,0,0,0,0,0,0,0,0,0
2020-05-07,2020-05-07,1,0.3612,0,0,0,0,0,0,0,0,0,0
2020-05-06,2020-05-06,2,0.17,0,0,0,0,0,1,0,0,0,0
2020-05-05,2020-05-05,1,0.4019,0,0,0,0,0,1,0,0,0,0
2020-05-04,2020-05-04,3,0.3970666666666667,0,0,1,0,0,0,0,0,0,0
2020-05-03,2020-05-03,1,0.0,0,0,0,0,0,0,0,0,0,0
2020-04-30,2020-04-30,1,0.2023,0,0,0,0,0,0,0,0,0,0
2020-04-29,2020-04-29,1,0.4939,0,0,0,0,0,1,0,0,0,0
2020-04-28,2020-04-28,1,0.296,0,0,0,0,0,0,0,0,0,0
2020-04-27,2020-04-27,1,0.8074,0,0,0,0,0,0,0,0,0,0
2020-04-26,2020-04-26,1,0.7065,0,0,0,0,0,0,0,0,0,0
2020-04-22,2020-04-22,1,0.0,0,0,0,0,0,0,0,0,1,0
2020-04-20,2020-04-20,2,-0.07950000000000002,0,0,0,0,0,0,0,0,0,0
2020-04-19,2020-04-19,1,0.4939,0,0,0,0,0,1,0,0,0,0
